Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
285 3 0 1 2 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 3
286 3 0 1 2 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 3
287 3 0 1 2 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 3
288 3 0 1 2 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 3
289 3 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 1 0 1
290 3 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 4
291 3 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 4
292 3 0 1 1 1 0 0 1 0 2 0 1 0 0 2 1 0 0 0 0 2
293 3 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 4
294 3 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 4
295 3 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 3
296 3 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 3
297 3 0 1 0 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 1 3
298 4 1 0 3 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 2
299 4 1 0 3 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 2
300 4 1 0 3 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 2
301 4 1 0 3 0 1 1 1 0 2 0 1 0 0 2 1 0 0 0 0 0
302 4 1 0 3 0 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 2
303 4 1 0 3 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 2
304 4 1 0 3 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 2
305 4 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 0 1
306 4 1 0 3 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 3
307 4 1 0 3 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 3
308 4 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1
309 4 1 0 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 1 1
310 4 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 2
